serial_number,serial_prefix,model_name,client_name
3.00E+14,3000,Move,Unity Bank
2.50E+14,2500,Move,Unity Bank
2.50E+14,2500,Move,Evergreen Bank
2.50E+14,2500,Move,BankOne
2.50E+14,2500,Move,Evergreen Bank
2.50E+14,2500,Move,Evergreen Bank
2.50E+14,2500,Move,BankOne
2.50E+14,2500,Move,BankOne
2.50E+14,2500,Move,Unity Bank
2.50E+14,2500,Move,BankOne
2.50E+14,2500,Move,Unity Bank
Link2000127843,2000,Link,BankOne
Link2000128937,2000,Link,BankOne
Link2000136928,2000,Link,Evergreen Bank
Link2000149378,2000,Link,Evergreen Bank
Link2000204938,2000,Link,Evergreen Bank
Link2000275493,2000,Link,Evergreen Bank
Link2000298475,2000,Link,Evergreen Bank
Link2000349752,2000,Link,BankOne
Link2000358976,2000,Link,Evergreen Bank
Link2000375281,2000,Link,BankOne
Link2000385764,2000,Link,Evergreen Bank
Link2000395827,2000,Link,Evergreen Bank
Link2000397685,2000,Link,BankOne
Link2000419285,2000,Link,Evergreen Bank
Link2000425769,2000,Link,BankOne
Link2000427893,2000,Link,Evergreen Bank
Link2000452879,2000,Link,BankOne
Link2000462819,2000,Link,BankOne
Link2000487312,2000,Link,Evergreen Bank
Link2000517382,2000,Link,Evergreen Bank
Link2000517648,2000,Link,Evergreen Bank
Link2000561938,2000,Link,BankOne
Link2000578492,2000,Link,Evergreen Bank
Link2000581627,2000,Link,BankOne
Link2000593812,2000,Link,Evergreen Bank
Link2000601287,2000,Link,Evergreen Bank
Link2000629543,2000,Link,BankOne
Link2000637589,2000,Link,Evergreen Bank
Link2000672514,2000,Link,Evergreen Bank
Link2000695283,2000,Link,BankOne
Link2000713625,2000,Link,Evergreen Bank
Link2000714392,2000,Link,BankOne
Link2000726359,2000,Link,Evergreen Bank
Link2000739582,2000,Link,BankOne
Link2000758642,2000,Link,BankOne
Link2000764823,2000,Link,Evergreen Bank
Link2000813956,2000,Link,BankOne
Link2000832741,2000,Link,Evergreen Bank
Link2000837564,2000,Link,Evergreen Bank
Link2000842639,2000,Link,Evergreen Bank
Link2000842951,2000,Link,BankOne
Link2000864327,2000,Link,Evergreen Bank
Link2000874136,2000,Link,BankOne
Link2000918325,2000,Link,BankOne
Link2000926581,2000,Link,Evergreen Bank
Link2000935741,2000,Link,Evergreen Bank
Link2000938175,2000,Link,BankOne
Link2000958271,2000,Link,Evergreen Bank
Link2000981274,2000,Link,BankOne
Link2000987432,2000,Link,Evergreen Bank
